Date,Close/Last,Volume,Open,High,Low
04/04/2022,61.55,68757520,58.38,61.55,58.23
04/01/2022,57.93,88081310,58.43,58.815,56.40
03/31/2022,58.18,84049430,60.64,60.83,57.90
03/30/2022,60.69,83909410,61.68,62.54,59.80
03/29/2022,62.57,102006700,61.52,62.96,60.14
03/28/2022,59.52,91703720,56.92,59.61,56.33
03/25/2022,56.93,99394690,57.04,57.5612,54.85
03/24/2022,57.02,85575250,54.43,57.09,53.41
03/23/2022,53.55,102749700,54.56,56.2693,53.50
03/22/2022,55.91,93344630,53.07,56.34,52.87
03/21/2022,52.79,110547300,52.86,53.925,50.77
03/18/2022,53.17,100784800,49.46,53.41,48.9305
03/17/2022,50.06,96030780,47.59,50.19,47.0399
03/16/2022,48.44,163087500,45.16,48.48,43.69
03/15/2022,43.55,105703600,40.87,43.8899,40.235
03/14/2022,39.86,123132600,41.81,43.13,39.56
03/11/2022,42.34,98907430,46.34,46.47,42.09
03/10/2022,45.14,112787400,44.90,45.62,43.1904
03/09/2022,46.64,109537100,45.40,47.20,44.35
03/08/2022,42.13,177968000,42.39,46.00,40.77
03/07/2022,42.72,124876300,48.045,48.5401,42.63
03/04/2022,48.09,115911500,49.165,49.80,47.00
03/03/2022,50.24,111944300,53.75,53.78,49.37
03/02/2022,52.43,109747900,50.67,53.05,49.42
03/01/2022,50.04,124072500,51.92,52.97,48.85
02/28/2022,52.46,121700500,50.455,53.185,49.9206
02/25/2022,51.91,119186100,49.995,52.005,48.25
02/24/2022,49.56,194867400,40.76,49.85,40.61
02/23/2022,45.14,130460200,50.24,50.63,44.97
02/22/2022,48.88,131438100,49.04,51.50,47.205
02/18/2022,50.44,113082700,52.59,52.7891,49.31
02/17/2022,52.21,78835650,55.64,56.05,51.97
02/16/2022,57.29,93090520,56.27,57.7999,54.70
02/15/2022,57.30,82085590,55.83,57.44,55.35
02/14/2022,53.43,95062530,52.90,54.97,51.70
02/11/2022,53.28,134255600,58.78,59.55,52.555
02/10/2022,58.82,127143300,59.31,62.91,57.80
02/09/2022,63.00,75537700,61.56,63.08,60.76
02/08/2022,59.32,79296610,56.80,59.8255,56.23
02/07/2022,57.37,76956120,59.07,60.27,56.72
02/04/2022,58.70,96534410,56.87,60.41,55.89
02/03/2022,56.74,105575000,59.32,61.07,56.12
02/02/2022,64.50,100815200,65.22,65.3697,62.35
02/01/2022,63.01,101845800,62.42,63.35,59.73
01/31/2022,61.83,113751100,57.045,62.0599,56.22
01/28/2022,56.37,167016200,52.40,56.46,50.10
01/27/2022,51.56,161764100,55.40,56.24,51.04
01/26/2022,53.15,207838100,56.99,58.85,51.37
01/25/2022,53.25,173749000,54.15,56.31,51.75
01/24/2022,57.49,255904600,53.845,57.75,48.17
01/21/2022,56.67,171027300,60.62,62.025,56.50
01/20/2022,61.88,86098530,66.02,68.18,61.50
01/19/2022,64.37,91642200,67.36,68.71,64.16
01/18/2022,66.69,78170870,68.485,69.72,66.06
01/14/2022,71.87,89225820,69.09,72.065,69.00
01/13/2022,70.80,86765910,77.13,77.55,70.02
01/12/2022,76.34,138371180,76.985,77.965,74.94
01/11/2022,75.48,154326820,71.715,75.515,70.52
01/10/2022,72.30,179217400,69.175,72.47,66.05
01/07/2022,72.035,142713480,74.45,75.47,71.00
01/06/2022,74.47,154226580,73.515,76.405,72.21
01/05/2022,74.675,133245240,81.19,81.86,74.5012
01/04/2022,82.24,106648120,85.915,85.945,80.195
01/03/2022,85.565,76505160,83.915,85.72,82.56
12/31/2021,83.165,60248560,84.315,85.20,82.855
12/30/2021,84.74,56635820,85.385,86.8275,84.385
12/29/2021,85.54,57747340,85.655,86.495,83.9755
12/28/2021,85.675,72412520,87.38,87.49,85.015
12/27/2021,86.695,62981640,83.545,86.765,83.50
12/23/2021,82.74,65654120,81.085,83.645,80.985
12/22/2021,80.82,88611360,77.79,81.00,77.4116
12/21/2021,78.035,109562440,75.08,78.2245,72.855
12/20/2021,73.145,120932940,72.51,73.625,71.2501
12/17/2021,75.40,150136080,74.415,77.895,73.50
12/16/2021,76.57,148109900,83.505,83.81,75.475
12/15/2021,82.895,134530600,77.48,83.1345,75.015
12/14/2021,77.75,115466760,77.06,78.78,74.915
12/13/2021,80.135,89572600,83.735,83.945,79.89
12/10/2021,83.735,101537700,82.885,83.915,80.89
12/09/2021,81.22,106400960,84.075,85.255,81.00
12/08/2021,84.885,102621740,83.945,85.00,82.735
12/07/2021,83.72,135289200,80.885,84.14,80.87
12/06/2021,76.795,152413960,75.295,77.64,72.765
12/03/2021,75.04,240286800,80.00,80.64,72.465
12/02/2021,79.01,198216460,76.71,80.2595,75.825
12/01/2021,77.55,152057600,84.43,85.81,77.235
11/30/2021,81.745,151293000,84.84,86.395,80.355
11/29/2021,85.415,79465940,83.10,86.08,82.665
11/26/2021,80.42,88841140,83.39,84.32,79.36
11/24/2021,85.115,99120800,82.655,85.28,81.165
11/23/2021,84.335,113012700,84.725,86.085,81.395
11/22/2021,85.50,89522400,89.645,91.68,85.43
11/19/2021,88.57,64607160,88.215,89.4351,87.66
11/18/2021,87.095,86841680,85.84,87.45,84.385
11/17/2021,84.51,57967940,84.605,85.8425,83.895
11/16/2021,84.41,51590800,82.145,84.7041,82.03
11/15/2021,82.70,69729100,83.455,83.655,81.045
11/12/2021,82.725,63820400,80.905,83.035,79.875
11/11/2021,80.18,57719040,81.375,81.495,79.95
11/10/2021,79.535,96976720,81.36,83.20,78.25
11/09/2021,83.18,88118820,85.625,85.8974,82.285
11/08/2021,84.93,56459820,85.25,85.95,84.53
11/05/2021,85.28,85252720,86.23,86.83,84.365
11/04/2021,84.965,80439720,82.715,85.6739,82.365
11/03/2021,81.91,72605220,79.67,82.16,79.035
11/02/2021,79.39,60085620,78.0125,79.685,77.98
11/01/2021,78.345,65022740,77.90,78.465,76.59
10/29/2021,77.58,67257160,74.595,77.70,74.39
10/28/2021,76.45,65368760,75.155,76.625,74.70
10/27/2021,74.02,72533920,73.78,75.86,73.63
10/26/2021,73.44,83987780,74.16,75.5975,72.825
10/25/2021,72.76,59475720,71.494,73.365,70.36
10/22/2021,70.64,70124160,71.735,72.33,69.68
10/21/2021,72.475,46050160,70.7175,72.605,70.565
10/20/2021,71.20,59354860,71.745,72.11,70.34
10/19/2021,71.425,53225360,70.52,71.515,70.14
10/18/2021,69.89,50438260,67.125,70.01,66.79
10/15/2021,67.855,51429060,67.30,67.925,66.71
10/14/2021,66.62,60874920,65.055,66.725,64.70
10/13/2021,63.135,70460680,62.89,63.475,61.80
